bn,b,h,t
10,22,22,1
0,23,22,1
0,24,22,1
0,25,22,1
2,26,22,1
0,27,22,1
0,28,22,1
0,29,22,1
0,30,22,1
0,31,22,1
1,1,23,1
2,2,23,1
6,3,23,1
3,4,23,1
0,5,23,1
1,6,23,1
0,7,23,1
0,8,23,1
0,9,23,1
15,10,23,1
1,11,23,1
0,12,23,1
2,13,23,1
1,14,23,1
0,15,23,1
2,16,23,1
0,17,23,1
0,18,23,1
0,19,23,1
0,20,23,1
0,21,23,1
10,22,23,1
0,23,23,1
0,24,23,1
0,25,23,1
3,26,23,1
0,27,23,1
0,28,23,1
0,29,23,1
0,30,23,1
0,31,23,1
0,1,24,1
0,2,24,1
11,3,24,1
2,4,24,1
0,5,24,1
0,6,24,1
0,7,24,1
0,8,24,1
0,9,24,1
15,10,24,1
3,11,24,1
0,12,24,1
1,13,24,1
0,14,24,1
0,15,24,1
2,16,24,1
2,17,24,1
0,18,24,1
2,19,24,1
0,20,24,1
0,21,24,1
7,22,24,1
0,23,24,1
0,24,24,1
0,25,24,1
2,26,24,1
0,27,24,1
0,28,24,1
0,29,24,1
0,30,24,1
0,31,24,1
0,1,25,1
4,2,25,1
8,3,25,1
2,4,25,1
0,5,25,1
0,6,25,1
0,7,25,1
0,8,25,1
0,9,25,1
8,10,25,1
0,11,25,1
1,12,25,1
5,13,25,1
0,14,25,1
0,15,25,1
3,16,25,1
3,17,25,1
0,18,25,1
0,19,25,1
0,20,25,1
0,21,25,1
8,22,25,1
0,23,25,1
0,24,25,1
0,25,25,1
5,26,25,1
0,27,25,1
0,28,25,1
0,29,25,1
0,30,25,1
0,31,25,1
0,1,26,1
1,2,26,1
7,3,26,1
0,4,26,1
2,5,26,1
0,6,26,1
1,7,26,1
0,8,26,1
0,9,26,1
14,10,26,1
3,11,26,1
0,12,26,1
2,13,26,1
1,14,26,1
0,15,26,1
1,16,26,1
1,17,26,1
0,18,26,1
0,19,26,1
0,20,26,1
0,21,26,1
11,22,26,1
0,23,26,1
0,24,26,1
0,25,26,1
3,26,26,1
0,27,26,1
0,28,26,1
0,29,26,1
0,30,26,1
0,31,26,1
0,1,27,1
0,2,27,1
8,3,27,1
1,4,27,1
0,5,27,1
0,6,27,1
3,7,27,1
0,8,27,1
0,9,27,1
15,10,27,1
1,11,27,1
0,12,27,1
5,13,27,1
1,14,27,1
0,15,27,1
1,16,27,1
1,17,27,1
0,18,27,1
1,19,27,1
0,20,27,1
0,21,27,1
8,22,27,1
0,23,27,1
0,24,27,1
0,25,27,1
2,26,27,1
0,27,27,1
0,28,27,1
0,29,27,1
0,30,27,1
0,31,27,1
1,1,28,1
2,2,28,1
7,3,28,1
2,4,28,1
0,5,28,1
0,6,28,1
1,7,28,1
1,8,28,1
0,9,28,1
10,10,28,1
1,11,28,1
0,12,28,1
6,13,28,1
1,14,28,1
0,15,28,1
0,16,28,1
0,17,28,1
0,18,28,1
1,19,28,1
0,20,28,1
0,21,28,1
12,22,28,1
0,23,28,1
0,24,28,1
0,25,28,1
2,26,28,1
0,27,28,1
0,28,28,1
0,29,28,1
0,30,28,1
0,31,28,1
0,1,29,1
1,2,29,1
7,3,29,1
2,4,29,1
1,5,29,1
1,6,29,1
3,7,29,1
0,8,29,1
0,9,29,1
8,10,29,1
0,11,29,1
0,12,29,1
5,13,29,1
1,14,29,1
0,15,29,1
2,16,29,1
0,17,29,1
0,18,29,1
0,19,29,1
0,20,29,1
0,21,29,1
13,22,29,1
1,23,29,1
0,24,29,1
0,25,29,1
2,26,29,1
0,27,29,1
0,28,29,1
0,29,29,1
0,30,29,1
0,31,29,1
0,1,30,1
0,2,30,1
7,3,30,1
4,4,30,1
0,5,30,1
0,6,30,1
1,7,30,1
3,8,30,1
0,9,30,1
8,10,30,1
1,11,30,1
1,12,30,1
6,13,30,1
0,14,30,1
0,15,30,1
1,16,30,1
0,17,30,1
1,18,30,1
4,19,30,1
0,20,30,1
0,21,30,1
10,22,30,1
0,23,30,1
0,24,30,1
0,25,30,1
0,26,30,1
0,27,30,1
0,28,30,1
0,29,30,1
0,30,30,1
0,31,30,1
0,1,31,1
1,2,31,1
9,3,31,1
3,4,31,1
0,5,31,1
1,6,31,1
1,7,31,1
1,8,31,1
0,9,31,1
10,10,31,1
1,11,31,1
0,12,31,1
3,13,31,1
0,14,31,1
0,15,31,1
5,16,31,1
0,17,31,1
0,18,31,1
2,19,31,1
0,20,31,1
0,21,31,1
9,22,31,1
0,23,31,1
0,24,31,1
0,25,31,1
1,26,31,1
0,27,31,1
0,28,31,1
0,29,31,1
0,30,31,1
0,31,31,1
0,1,32,1
0,2,32,1
6,3,32,1
3,4,32,1
1,5,32,1
0,6,32,1
1,7,32,1
0,8,32,1
0,9,32,1
8,10,32,1
1,11,32,1
1,12,32,1
6,13,32,1
0,14,32,1
0,15,32,1
4,16,32,1
2,17,32,1
0,18,32,1
1,19,32,1
0,20,32,1
0,21,32,1
9,22,32,1
0,23,32,1
0,24,32,1
0,25,32,1
3,26,32,1
0,27,32,1
0,28,32,1
0,29,32,1
0,30,32,1
1,31,32,1
1,1,33,1
0,2,33,1
6,3,33,1
2,4,33,1
0,5,33,1
0,6,33,1
0,7,33,1
1,8,33,1
0,9,33,1
11,10,33,1
0,11,33,1
0,12,33,1
4,13,33,1
0,14,33,1
0,15,33,1
2,16,33,1
1,17,33,1
0,18,33,1
0,19,33,1
0,20,33,1
0,21,33,1
12,22,33,1
0,23,33,1
0,24,33,1
0,25,33,1
7,26,33,1
0,27,33,1
0,28,33,1
0,29,33,1
0,30,33,1
0,31,33,1
1,1,34,1
2,2,34,1
5,3,34,1
3,4,34,1
1,5,34,1
0,6,34,1
0,7,34,1
1,8,34,1
0,9,34,1
16,10,34,1
2,11,34,1
0,12,34,1
4,13,34,1
0,14,34,1
0,15,34,1
2,16,34,1
1,17,34,1
0,18,34,1
1,19,34,1
0,20,34,1
0,21,34,1
5,22,34,1
0,23,34,1
0,24,34,1
0,25,34,1
3,26,34,1
0,27,34,1
0,28,34,1
0,29,34,1
0,30,34,1
0,31,34,1
0,1,35,1
0,2,35,1
8,3,35,1
2,4,35,1
0,5,35,1
1,6,35,1
2,7,35,1
1,8,35,1
0,9,35,1
14,10,35,1
2,11,35,1
0,12,35,1
3,13,35,1
0,14,35,1
0,15,35,1
0,16,35,1
0,17,35,1
0,18,35,1
0,19,35,1
0,20,35,1
0,21,35,1
10,22,35,1
0,23,35,1
0,24,35,1
0,25,35,1
4,26,35,1
0,27,35,1
0,28,35,1
0,29,35,1
0,30,35,1
0,31,35,1
1,1,36,1
0,2,36,1
10,3,36,1
12,4,36,1
2,5,36,1
0,6,36,1
2,7,36,1
0,8,36,1
0,9,36,1
0,10,36,1
3,11,36,1
0,12,36,1
13,13,36,1
1,14,36,1
11,15,36,1
0,16,36,1
0,17,36,1
0,18,36,1
1,19,36,1
0,20,36,1
0,21,36,1
3,22,36,1
0,23,36,1
0,24,36,1
9,25,36,1
0,26,36,1
0,27,36,1
0,28,36,1
0,29,36,1
1,30,36,1
0,31,36,1
0,1,37,1
0,2,37,1
5,3,37,1
19,4,37,1
1,5,37,1
0,6,37,1
2,7,37,1
0,8,37,1
0,9,37,1
0,10,37,1
1,11,37,1
0,12,37,1
11,13,37,1
0,14,37,1
10,15,37,1
0,16,37,1
0,17,37,1
0,18,37,1
3,19,37,1
1,20,37,1
0,21,37,1
4,22,37,1
0,23,37,1
0,24,37,1
11,25,37,1
0,26,37,1
0,27,37,1
0,28,37,1
0,29,37,1
1,30,37,1
0,31,37,1
0,1,38,1
1,2,38,1
6,3,38,1
9,4,38,1
0,5,38,1
0,6,38,1
2,7,38,1
0,8,38,1
0,9,38,1
1,10,38,1
1,11,38,1
0,12,38,1
20,13,38,1
2,14,38,1
9,15,38,1
0,16,38,1
0,17,38,1
0,18,38,1
0,19,38,1
0,20,38,1
1,21,38,1
3,22,38,1
0,23,38,1
0,24,38,1
12,25,38,1
0,26,38,1
0,27,38,1
0,28,38,1
0,29,38,1
2,30,38,1
0,31,38,1
0,1,39,1
0,2,39,1
11,3,39,1
11,4,39,1
2,5,39,1
0,6,39,1
3,7,39,1
0,8,39,1
0,9,39,1
1,10,39,1
4,11,39,1
0,12,39,1
12,13,39,1
2,14,39,1
7,15,39,1
0,16,39,1
0,17,39,1
0,18,39,1
1,19,39,1
0,20,39,1
0,21,39,1
5,22,39,1
0,23,39,1
1,24,39,1
8,25,39,1
0,26,39,1
0,27,39,1
0,28,39,1
0,29,39,1
1,30,39,1
0,31,39,1
1,1,40,1
0,2,40,1
7,3,40,1
15,4,40,1
2,5,40,1
0,6,40,1
0,7,40,1
1,8,40,1
0,9,40,1
0,10,40,1
3,11,40,1
0,12,40,1
16,13,40,1
1,14,40,1
12,15,40,1
0,16,40,1
0,17,40,1
0,18,40,1
0,19,40,1
0,20,40,1
0,21,40,1
1,22,40,1
0,23,40,1
0,24,40,1
9,25,40,1
0,26,40,1
0,27,40,1
0,28,40,1
0,29,40,1
1,30,40,1
0,31,40,1
0,1,41,1
0,2,41,1
6,3,41,1
9,4,41,1
1,5,41,1
0,6,41,1
2,7,41,1
1,8,41,1
0,9,41,1
0,10,41,1
4,11,41,1
0,12,41,1
18,13,41,1
2,14,41,1
11,15,41,1
0,16,41,1
0,17,41,1
0,18,41,1
1,19,41,1
0,20,41,1
0,21,41,1
3,22,41,1
0,23,41,1
0,24,41,1
11,25,41,1
0,26,41,1
0,27,41,1
0,28,41,1
0,29,41,1
0,30,41,1
0,31,41,1
0,1,42,1
0,2,42,1
9,3,42,1
15,4,42,1
1,5,42,1
0,6,42,1
2,7,42,1
2,8,42,1
0,9,42,1
1,10,42,1
1,11,42,1
0,12,42,1
12,13,42,1
0,14,42,1
11,15,42,1
0,16,42,1
0,17,42,1
0,18,42,1
2,19,42,1
0,20,42,1
1,21,42,1
3,22,42,1
0,23,42,1
0,24,42,1
8,25,42,1
0,26,42,1
0,27,42,1
0,28,42,1
0,29,42,1
1,30,42,1
0,31,42,1
1,1,43,1
0,2,43,1
7,3,43,1
13,4,43,1
1,5,43,1
0,6,43,1
1,7,43,1
1,8,43,1
0,9,43,1
0,10,43,1
0,11,43,1
0,12,43,1
15,13,43,1
1,14,43,1
13,15,43,1
0,16,43,1
0,17,43,1
0,18,43,1
1,19,43,1
0,20,43,1
0,21,43,1
2,22,43,1
0,23,43,1
2,24,43,1
10,25,43,1
0,26,43,1
0,27,43,1
0,28,43,1
0,29,43,1
1,30,43,1
0,31,43,1
4,1,44,1
0,2,44,1
14,3,44,1
16,4,44,1
0,5,44,1
0,6,44,1
2,7,44,1
0,8,44,1
1,9,44,1
1,10,44,1
2,11,44,1
0,12,44,1
10,13,44,1
2,14,44,1
5,15,44,1
0,16,44,1
0,17,44,1
0,18,44,1
1,19,44,1
0,20,44,1
0,21,44,1
3,22,44,1
0,23,44,1
1,24,44,1
7,25,44,1
0,26,44,1
0,27,44,1
0,28,44,1
0,29,44,1
0,30,44,1
0,31,44,1
0,1,45,1
0,2,45,1
5,3,45,1
15,4,45,1
1,5,45,1
0,6,45,1
1,7,45,1
0,8,45,1
0,9,45,1
2,10,45,1
1,11,45,1
0,12,45,1
21,13,45,1
2,14,45,1
9,15,45,1
0,16,45,1
0,17,45,1
0,18,45,1
2,19,45,1
0,20,45,1
0,21,45,1
3,22,45,1
0,23,45,1
0,24,45,1
7,25,45,1
0,26,45,1
0,27,45,1
0,28,45,1
0,29,45,1
0,30,45,1
0,31,45,1
0,1,46,1
0,2,46,1
6,3,46,1
17,4,46,1
1,5,46,1
0,6,46,1
2,7,46,1
0,8,46,1
0,9,46,1
1,10,46,1
2,11,46,1
0,12,46,1
13,13,46,1
0,14,46,1
6,15,46,1
0,16,46,1
0,17,46,1
0,18,46,1
4,19,46,1
0,20,46,1
0,21,46,1
4,22,46,1
0,23,46,1
0,24,46,1
12,25,46,1
0,26,46,1
0,27,46,1
0,28,46,1
0,29,46,1
1,30,46,1
0,31,46,1
0,1,47,1
1,2,47,1
8,3,47,1
9,4,47,1
0,5,47,1
0,6,47,1
2,7,47,1
0,8,47,1
0,9,47,1
1,10,47,1
3,11,47,1
0,12,47,1
14,13,47,1
5,14,47,1
10,15,47,1
1,16,47,1
0,17,47,1
0,18,47,1
2,19,47,1
0,20,47,1
0,21,47,1
4,22,47,1
0,23,47,1
0,24,47,1
9,25,47,1
0,26,47,1
0,27,47,1
0,28,47,1
0,29,47,1
0,30,47,1
0,31,47,1
1,1,48,1
0,2,48,1
7,3,48,1
18,4,48,1
2,5,48,1
0,6,48,1
2,7,48,1
0,8,48,1
0,9,48,1
0,10,48,1
1,11,48,1
0,12,48,1
14,13,48,1
0,14,48,1
10,15,48,1
0,16,48,1
0,17,48,1
0,18,48,1
0,19,48,1
0,20,48,1
0,21,48,1
5,22,48,1
0,23,48,1
1,24,48,1
7,25,48,1
0,26,48,1
0,27,48,1
0,28,48,1
0,29,48,1
1,30,48,1
0,31,48,1
0,1,49,1
0,2,49,1
9,3,49,1
12,4,49,1
0,5,49,1
0,6,49,1
3,7,49,1
1,8,49,1
0,9,49,1
0,10,49,1
1,11,49,1
0,12,49,1
10,13,49,1
1,14,49,1
13,15,49,1
1,16,49,1
0,17,49,1
0,18,49,1
2,19,49,1
1,20,49,1
0,21,49,1
6,22,49,1
0,23,49,1
1,24,49,1
6,25,49,1
0,26,49,1
0,27,49,1
0,28,49,1
2,29,49,1
0,30,49,1
0,31,49,1
1,1,50,1
1,2,50,1
10,3,50,1
25,4,50,1
2,5,50,1
1,6,50,1
1,7,50,1
0,8,50,1
0,9,50,1
0,10,50,1
0,11,50,1
0,12,50,1
7,13,50,1
0,14,50,1
8,15,50,1
0,16,50,1
0,17,50,1
0,18,50,1
0,19,50,1
0,20,50,1
0,21,50,1
1,22,50,1
0,23,50,1
0,24,50,1
10,25,50,1
0,26,50,1
0,27,50,1
0,28,50,1
0,29,50,1
2,30,50,1
0,31,50,1
0,1,51,1
0,2,51,1
4,3,51,1
15,4,51,1
1,5,51,1
0,6,51,1
1,7,51,1
1,8,51,1
0,9,51,1
1,10,51,1
4,11,51,1
0,12,51,1
16,13,51,1
0,14,51,1
13,15,51,1
0,16,51,1
0,17,51,1
0,18,51,1
0,19,51,1
0,20,51,1
0,21,51,1
2,22,51,1
0,23,51,1
0,24,51,1
9,25,51,1
1,26,51,1
0,27,51,1
0,28,51,1
0,29,51,1
1,30,51,1
0,31,51,1
0,1,52,1
0,2,52,1
7,3,52,1
16,4,52,1
0,5,52,1
0,6,52,1
2,7,52,1
1,8,52,1
0,9,52,1
2,10,52,1
1,11,52,1
0,12,52,1
19,13,52,1
2,14,52,1
10,15,52,1
0,16,52,1
0,17,52,1
0,18,52,1
0,19,52,1
0,20,52,1
0,21,52,1
1,22,52,1
0,23,52,1
0,24,52,1
8,25,52,1
0,26,52,1
0,27,52,1
0,28,52,1
0,29,52,1
0,30,52,1
0,31,52,1
0,1,53,1
0,2,53,1
13,3,53,1
12,4,53,1
0,5,53,1
0,6,53,1
1,7,53,1
1,8,53,1
0,9,53,1
1,10,53,1
1,11,53,1
0,12,53,1
14,13,53,1
4,14,53,1
7,15,53,1
0,16,53,1
0,17,53,1
0,18,53,1
1,19,53,1
0,20,53,1
0,21,53,1
3,22,53,1
0,23,53,1
2,24,53,1
8,25,53,1
0,26,53,1
0,27,53,1
0,28,53,1
1,29,53,1
0,30,53,1
0,31,53,1
3,1,54,1
0,2,54,1
9,3,54,1
13,4,54,1
1,5,54,1
0,6,54,1
1,7,54,1
2,8,54,1
0,9,54,1
0,10,54,1
2,11,54,1
0,12,54,1
14,13,54,1
1,14,54,1
10,15,54,1
0,16,54,1
0,17,54,1
0,18,54,1
0,19,54,1
0,20,54,1
0,21,54,1
2,22,54,1
0,23,54,1
1,24,54,1
7,25,54,1
0,26,54,1
0,27,54,1
0,28,54,1
0,29,54,1
3,30,54,1
0,31,54,1
0,1,55,1
1,2,55,1
8,3,55,1
14,4,55,1
2,5,55,1
0,6,55,1
3,7,55,1
0,8,55,1
1,9,55,1
2,10,55,1
0,11,55,1
0,12,55,1
10,13,55,1
2,14,55,1
8,15,55,1
1,16,55,1
0,17,55,1
0,18,55,1
1,19,55,1
0,20,55,1
0,21,55,1
2,22,55,1
0,23,55,1
1,24,55,1
11,25,55,1
0,26,55,1
0,27,55,1
1,28,55,1
0,29,55,1
1,30,55,1
0,31,55,1
2,1,56,1
0,2,56,1
6,3,56,1
14,4,56,1
2,5,56,1
1,6,56,1
0,7,56,1
0,8,56,1
0,9,56,1
1,10,56,1
1,11,56,1
0,12,56,1
18,13,56,1
5,14,56,1
3,15,56,1
0,16,56,1
0,17,56,1
0,18,56,1
1,19,56,1
0,20,56,1
1,21,56,1
1,22,56,1
0,23,56,1
1,24,56,1
11,25,56,1
0,26,56,1
0,27,56,1
0,28,56,1
1,29,56,1
0,30,56,1
0,31,56,1
1,1,57,1
1,2,57,1
5,3,57,1
13,4,57,1
3,5,57,1
0,6,57,1
2,7,57,1
0,8,57,1
0,9,57,1
1,10,57,1
2,11,57,1
